"Title","Journal","Year","Authors","DOI","PMID","Abstract"
"Open-pit map: An HD map data model for Open-pit mines","APPLIED SCIENCES","2023","Xu, Xingliang; Wang, Zhuo; Huang, Pengli; Tian, Suchuan; Bi, Lin","10.3390/app132312681","41282813","Abstract

UNLABELLED
Plasmids are extrachromosomal mobile genetic elements that often carry genes responsible for antimicrobial resistance. Plasmid epidemiology aims to track the evolution and spread of plasmids, but the field currently faces significant barriers that make practical implementation using whole genome sequence data difficult. Hybrid-assembled genomes remain the most reliable way to identify and track complete plasmids; however, most genomic surveillance data exists in the form of short-read sequencing, which lacks the resolution required to accurately resolve plasmids. Despite recent advances, long-read-only assemblies have not yet reached the consistency seen in hybrid assemblies. The ideal approach to plasmid epidemiology using whole genome sequence data would consider the limitations of sequencing technologies and the constraints of existing genomic surveillance infrastructure, in addition to the unique evolutionary biology of plasmids. Here, we present ACCIO (Assembly-based Circular Contig Identification for Outbreaks), a tool which creates a reference plasmid database and uses it to infer which plasmids, and genetically related plasmid groupings, are present in an input assembly (Illumina, Nanopore, or hybrid assembly). We validated ACCIO using an internal dataset of 303 plasmid-harboring bacterial clinical and surveillance isolates collected from a single acute tertiary care center. When highly related database plasmids were grouped together, ACCIO achieved 100% sensitivity and 92.1% positive predictive value (PPV) for detection of plasmid groups using hybrid assemblies, and comparably strong performance for Illumina (93.0% sensitivity, 86.6% PPV) and Nanopore (79.3% sensitivity, 91.4% PPV) assemblies. Evaluation on three external datasets yielded consistently high performance. Finally, when benchmarked against MOB-suite, a tool for reconstruction and typing of plasmids, ACCIO demonstrated superior performance across nearly all assembly types and plasmid grouping levels. By integrating database construction, clustering, and plasmid calling into a single workflow compatible with all major sequencing platforms, ACCIO is intended to help advance plasmid epidemiology beyond its current technological and infrastructural barriers.

IMPACT STATEMENT
3.Detecting and tracking plasmids-the mobile genetic elements often responsible for spreading antimicrobial resistance in hospital settings-is challenging, particularly when relying on short-read sequencing data alone. Short-read genome assemblies, despite widespread use in surveillance of bacterial pathogens, inherently lack the resolution required for plasmid analyses. Current bioinformatic methods struggle to identify whole plasmids from short-read assemblies alone, and often, hybrid assembly using both short- and long-read data is required for the robust analyses that are essential for tracking plasmids.To address these challenges, we developed ACCIO, a bioinformatics tool which utilizes input genome assemblies (short-read, long-read, or hybrid assemblies) to assess the plasmid content of clinical bacterial isolates for epidemiologic purposes. We validated its use against the recovery of circular plasmid sequences from hybrid assembled genomes as a gold standard method for determining plasmid content. Using a curated local database of 430 plasmid sequences, ACCIO provided accurate inferences of plasmid content from short-read (Illumina), long-read (Oxford Nanopore Technologies), and hybrid assemblies (both), ultimately facilitating genomic surveillance of plasmids regardless of sequencing technology. This work represents a meaningful step forward in advancing plasmid surveillance beyond the technological and infrastructural barriers that limit its broader expansion into healthcare and other settings.

DATA SUMMARY
4.Short- and long-read sequencing data have been deposited in the NCBI Sequence Read Archive (SRA) under multiple BioProjects, and corresponding hybrid genome assemblies are available in GenBank. Accession numbers for all BioProjects, BioSamples, and SRA datasets are provided in Supplementary Data S1. All supporting data, software code, and experimental/analysis protocols are provided within the article or in supplementary data files. External validation of ACCIO used three external datasets (Cho et al. 2023, BioProjects PRJNA475751 and PRJNA874473, DOI: 10.1038/s41598-024-70540-1; Lipworth et al. 2024, BioProject: PRJNA604975, DOI: 10.1038/s41467-024-45761-7; Khezri et al. 2021, European Nucleotide Archive (ENA): PRJEB45084, DOI: 10.3390/microorganisms9122560).List of External Software:: MOB-suite (v3.1.9) - https://github.com/phac-nml/mob-suite Skani (v0.2.2) - https://github.com/bluenote-1577/skani Scipy (v1.16.1) - https://github.com/scipy/scipy Pling (v2.0.0) - https://github.com/iqbal-lab-org/pling MUMmer / NUCmer (v4.0.1) - https://mummer4.github.io/ Mash / Mash Screen (v2.3) - https://github.com/marbl/Mash SPAdes (v3.15.5) - https://github.com/ablab/spades Unicycler (v0.5.1) - https://github.com/rrwick/Unicycler Flye (v2.9.5) - https://github.com/mikolmogorov/Flye QUAST (v5.2.0) - https://github.com/ablab/quast Kraken2 (v2.1.3) - https://github.com/DerrickWood/kraken2 CheckM (v0.4) - https://github.com/Ecogenomics/CheckM Albacore/Guppy - [no longer officially hosted; was distributed by ONT] Guppy - https://nanoporetech.com/software/other/guppy Dorado - https://github.com/nanoporetech/dorado Bowtie2 (v2.5.4) - https://github.com/BenLangmead/bowtie2 Minimap2 (v2.28) - https://github.com/lh3/minimap2 Biopython (v1.85) - https://biopython.org/ Pandas (v2.3.1) - https://pandas.pydata.org/ Plasme (v1.1) - https://github.com/HubertTang/PLASMe BLAST(v2.17.0) - https://blast.ncbi.nlm.nih.gov/Blast.cgi."
"with Learning Based Trajectory Prediction in Self Driving","JOURNAL OF COMPUTATIONAL AND COGNITIVE ENGINEERING","2025","Sangapu, Sreenivasa Chakravarthi; Venkadesh, Amirthavarshini; Toleti, Jayant; Sehar, Sountharrajan","10.47852/bonviewjcce52025911","41159730","Cancer stem cells (CSCs) are a subpopulation of tumor cells with self-renewal capacity and the ability to drive tumor growth, metastasis, and relapse. They are widely recognized as major contributors to therapeutic resistance. Despite extensive efforts to characterize and target CSCs, their elusive nature continues to drive therapeutic resistance and relapse in epithelial malignancies. Single-cell RNA sequencing (scRNA-seq) has transformed our understanding of tumor biology. It enables high-resolution profiling of rare subpopulations (<5%) and reveals the functional heterogeneity that contributes to treatment failure. In this review, we discuss evolving evidence for a paradigm shift, enabled by rapidly advancing single-cell technologies, from a static, marker-based definition of CSCs to a dynamic and functional perspective. We explore how trajectory inference and spatial transcriptomics redefine stemness by context-dependent dynamic-state modelling. We also highlight emerging platforms, including artificial intelligence-driven predictive modelling, multi-omics integration, and functional CRISPR screens. These approaches have the potential to uncover new vulnerabilities in CSC populations. Together, these advances should lead to new precision medicine strategies for disrupting CSC plasticity, niche adaptation, and immune evasion."
"A Personalized Motion Planning Method with Driver Characteristics in Longitudinal and Lateral Directions","ELECTRONICS","2023","Zeng, Di; Zheng, Ling; Li, Yinong; Zeng, Jie; Wang, Kan","10.3390/electronics12245021","41282813","Abstract

UNLABELLED
Plasmids are extrachromosomal mobile genetic elements that often carry genes responsible for antimicrobial resistance. Plasmid epidemiology aims to track the evolution and spread of plasmids, but the field currently faces significant barriers that make practical implementation using whole genome sequence data difficult. Hybrid-assembled genomes remain the most reliable way to identify and track complete plasmids; however, most genomic surveillance data exists in the form of short-read sequencing, which lacks the resolution required to accurately resolve plasmids. Despite recent advances, long-read-only assemblies have not yet reached the consistency seen in hybrid assemblies. The ideal approach to plasmid epidemiology using whole genome sequence data would consider the limitations of sequencing technologies and the constraints of existing genomic surveillance infrastructure, in addition to the unique evolutionary biology of plasmids. Here, we present ACCIO (Assembly-based Circular Contig Identification for Outbreaks), a tool which creates a reference plasmid database and uses it to infer which plasmids, and genetically related plasmid groupings, are present in an input assembly (Illumina, Nanopore, or hybrid assembly). We validated ACCIO using an internal dataset of 303 plasmid-harboring bacterial clinical and surveillance isolates collected from a single acute tertiary care center. When highly related database plasmids were grouped together, ACCIO achieved 100% sensitivity and 92.1% positive predictive value (PPV) for detection of plasmid groups using hybrid assemblies, and comparably strong performance for Illumina (93.0% sensitivity, 86.6% PPV) and Nanopore (79.3% sensitivity, 91.4% PPV) assemblies. Evaluation on three external datasets yielded consistently high performance. Finally, when benchmarked against MOB-suite, a tool for reconstruction and typing of plasmids, ACCIO demonstrated superior performance across nearly all assembly types and plasmid grouping levels. By integrating database construction, clustering, and plasmid calling into a single workflow compatible with all major sequencing platforms, ACCIO is intended to help advance plasmid epidemiology beyond its current technological and infrastructural barriers.

IMPACT STATEMENT
3.Detecting and tracking plasmids-the mobile genetic elements often responsible for spreading antimicrobial resistance in hospital settings-is challenging, particularly when relying on short-read sequencing data alone. Short-read genome assemblies, despite widespread use in surveillance of bacterial pathogens, inherently lack the resolution required for plasmid analyses. Current bioinformatic methods struggle to identify whole plasmids from short-read assemblies alone, and often, hybrid assembly using both short- and long-read data is required for the robust analyses that are essential for tracking plasmids.To address these challenges, we developed ACCIO, a bioinformatics tool which utilizes input genome assemblies (short-read, long-read, or hybrid assemblies) to assess the plasmid content of clinical bacterial isolates for epidemiologic purposes. We validated its use against the recovery of circular plasmid sequences from hybrid assembled genomes as a gold standard method for determining plasmid content. Using a curated local database of 430 plasmid sequences, ACCIO provided accurate inferences of plasmid content from short-read (Illumina), long-read (Oxford Nanopore Technologies), and hybrid assemblies (both), ultimately facilitating genomic surveillance of plasmids regardless of sequencing technology. This work represents a meaningful step forward in advancing plasmid surveillance beyond the technological and infrastructural barriers that limit its broader expansion into healthcare and other settings.

DATA SUMMARY
4.Short- and long-read sequencing data have been deposited in the NCBI Sequence Read Archive (SRA) under multiple BioProjects, and corresponding hybrid genome assemblies are available in GenBank. Accession numbers for all BioProjects, BioSamples, and SRA datasets are provided in Supplementary Data S1. All supporting data, software code, and experimental/analysis protocols are provided within the article or in supplementary data files. External validation of ACCIO used three external datasets (Cho et al. 2023, BioProjects PRJNA475751 and PRJNA874473, DOI: 10.1038/s41598-024-70540-1; Lipworth et al. 2024, BioProject: PRJNA604975, DOI: 10.1038/s41467-024-45761-7; Khezri et al. 2021, European Nucleotide Archive (ENA): PRJEB45084, DOI: 10.3390/microorganisms9122560).List of External Software:: MOB-suite (v3.1.9) - https://github.com/phac-nml/mob-suite Skani (v0.2.2) - https://github.com/bluenote-1577/skani Scipy (v1.16.1) - https://github.com/scipy/scipy Pling (v2.0.0) - https://github.com/iqbal-lab-org/pling MUMmer / NUCmer (v4.0.1) - https://mummer4.github.io/ Mash / Mash Screen (v2.3) - https://github.com/marbl/Mash SPAdes (v3.15.5) - https://github.com/ablab/spades Unicycler (v0.5.1) - https://github.com/rrwick/Unicycler Flye (v2.9.5) - https://github.com/mikolmogorov/Flye QUAST (v5.2.0) - https://github.com/ablab/quast Kraken2 (v2.1.3) - https://github.com/DerrickWood/kraken2 CheckM (v0.4) - https://github.com/Ecogenomics/CheckM Albacore/Guppy - [no longer officially hosted; was distributed by ONT] Guppy - https://nanoporetech.com/software/other/guppy Dorado - https://github.com/nanoporetech/dorado Bowtie2 (v2.5.4) - https://github.com/BenLangmead/bowtie2 Minimap2 (v2.28) - https://github.com/lh3/minimap2 Biopython (v1.85) - https://biopython.org/ Pandas (v2.3.1) - https://pandas.pydata.org/ Plasme (v1.1) - https://github.com/HubertTang/PLASMe BLAST(v2.17.0) - https://blast.ncbi.nlm.nih.gov/Blast.cgi."
"Path planning of autonomous driving based on quadratic optimization","IOP CONFERENCE SERIES: MATERIALS SCIENCE AND ENGINEERING","2019","Ma, T Z; Chen, H; Li, K; Peng, M","10.1088/1757-899x/563/5/052078",,
"Mpnp: Multi-policy neural planner for urban driving","VEHICLE SYSTEM DYNAMICS","2023","Micheli, F.; Bersani, M.; Arrigoni, S.; Braghin, F.; Cheli, F.","10.1080/00423114.2022.2081220","41246084","Microplastics (MPs) and nanoplastics (NPs) have become pervasive contaminants in food, water, and air, leading to widespread human exposure, primarily through ingestion. Although MPs are increasingly detected in human tissues, including the placenta, blood, and brain, their long-term health implications are poorly understood. This review compiles emerging evidence on the systemic distribution and biological effects of ingested MPs, particularly on neurological risks. MPs can disrupt gut microbiota, breach intestinal and blood-brain barriers, and accumulate in neural tissues. Mechanistic studies reveal that MPs induce oxidative stress, neuroinflammation, protein aggregation, and neurotransmitter alterations, which may contribute to the development of cognitive dysfunction and neurodegenerative disease pathways. Recent work using brain organoids, single-cell and multi-omics technologies provides deeper mechanistic insights, linking MP/NP exposure to mitochondrial injury, inflammatory signaling, and impaired protein homeostasis. We also identify important gaps in exposure assessment, NPs detection, and epidemiological evidence. Human studies remain scarce but initial reports associating elevated MP/NP burdens in brain tissue with dementia highlight the urgency of this research. To address these gaps, we suggest critical next steps in the research agenda, integrating omics technologies, real-world exposure models, and human-relevant in vitro systems. As MP contamination grows, it is critical to understand its neurotoxic potential for informing public health policy and protecting vulnerable populations."
"Motion planning in complex urban environments: An industrial application on autonomous last‐mile delivery vehicles","JOURNAL OF FIELD ROBOTICS","2022","Wang, Haiming; Zhang, Liangliang; Kong, Qi; Zhu, Weicheng; Zheng, Jie; Zhuang, Li; Xu, Xin","10.1002/rob.22107","40648397","The increasing deployment of unmanned aerial vehicles (UAVs) in complex urban environments necessitates efficient and reliable path planning algorithms. While traditional sampling-based methods such as Rapidly exploring Random Tree Star (RRT*) are widely adopted, their computational inefficiency and suboptimal path quality in intricate 3D spaces remain significant challenges. This study proposes a novel framework (MPN-RRT*) that integrates Motion Planning Networks (MPNet) with RRT* to enhance UAV navigation in 3D urban maps. A key innovation lies in reducing computational complexity through dimensionality reduction, where 3D urban terrains are sliced into 2D maze representations while preserving critical obstacle information. Transfer learning is applied to adapt a pre-trained MPNet model to the simplified maps, enabling intelligent sampling that guides RRT* toward promising regions and reduces redundant exploration. Extensive MATLAB simulations validate the framework's efficacy across two distinct 3D environments: a sparse 200 × 200 × 200 map and a dense 800 × 800 × 200 map with no-fly zones. Compared to conventional RRT*, the MPN-RRT* achieves a 47.8% reduction in planning time (from 89.58 s to 46.77 s) and a 19.8% shorter path length (from 476.23 m to 381.76 m) in simpler environments, alongside smoother trajectories quantified by a 91.2% reduction in average acceleration (from 14.67 m/s² to 1.29 m/s²). In complex scenarios, the hybrid method maintains superior performance, reducing flight time by 14.2% and path length by 13.9% compared to RRT*. These results demonstrate that the integration of deep learning with sampling-based planning significantly enhances computational efficiency, path optimality, and smoothness, addressing critical limitations in UAV navigation for urban applications. The study underscores the potential of data-driven approaches to augment classical algorithms, providing a scalable solution for real-time autonomous systems operating in high-dimensional dynamic environments."
"Enhanced framework for fast kinodynamic planning and control on large curvature roads for autonomous vehicles","CONTROL ENGINEERING PRACTICE","2025","Zhao, Mingzhuo; Shen, Tong; Wang, Fanxun; Liang, Jinhao; Zhu, Xiaoyuan; Yu, Wenwu; Yin, Guodong","10.1016/j.conengprac.2025.106368","41285133",
"Autonomous driving on curvy roads without reliance on frenet frame: A cartesian-based trajectory planning method","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","2022","Li, Bai; Ouyang, Yakun; Li, Li; Zhang, Youmin","10.1109/tits.2022.3145389","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Automatic Driving Path Planning Based on Linear Constraints and Objective Function Optimization","IOP CONFERENCE SERIES: MATERIALS SCIENCE AND ENGINEERING","2019","Ma, T Z; Chen, H; Li, K; Peng, M","10.1088/1757-899x/563/5/052078",,
"Intelligent Vehicle Trajectory Planning via Combined Dynamic and Quadratic Programming","ELECTRONICS","2024","Li, Jiahao; Li, Shengqin; Wang, Juncheng","10.3390/electronics13234732","40664530","Autonomous Underwater Vehicles (AUVs) face significant challenges in tracking, navigation, and obstacle avoidance-critical aspects for advancing intelligent underwater robotics. This research presents a new navigation technique that combines Guiding Vector Field (GVF) concepts with Model Predictive Path Integral (MPPI) control to improve the precision and efficiency of vectored thruster AUV operating in complex environments. The proposed approach utilizes the AUV's relative positioning and environmental data to generate obstacle avoidance trajectories as desired GVF. Subsequently, MPPI optimization is applied to control inputs, considering dynamic constraints, to achieve effective tracking and obstacle avoidance. Extensive simulation experiments demonstrate the method's efficacy in navigating complex scenarios with non-convex obstacles. In the aspect of path tracking, the tracking error is reduced by 64 %, while maintaining safe distances in various obstacle configurations. Results show that the integrated method successfully combines local optimization prediction capabilities of MPPI with the global velocity planning of GVF, enabling efficient AUV navigation in intricate environments while ensuring the effectiveness and safety of the execution process. The method demonstrates robust performance even under disturbance conditions, maintaining a tracking error of only 0.017 m. This research contributes a solution for AUV operation in challenging maritime settings, with applications in marine surveying, underwater search and rescue, and offshore operations. By addressing key challenges in underwater navigation, this study advances the practical capabilities of AUV technology, paving the way for more efficient and reliable underwater robotic systems."
"Sequential Convex Programming based Model Predictive Control for Unprotected Left-Turn","JOURNAL OF AUTOMATION AND INTELLIGENCE","2024","Hao, Changlong; Zhang, Yuan; Xia, Yuanqing","10.1016/j.jai.2024.10.001","41285133",
"On-road trajectory planning of connected and automated vehicles in complex traffic settings: A hierarchical framework of trajectory refinement","IEEE ACCESS","2024","Zhao, Fuzhou; Han, Ling; Cui, Mingyang; Huang, Heye; Zhong, Shan; Su, Feifei; Wang, Lei","10.1109/access.2024.3352919","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"A Motion Planning Framework with Learning Based Trajectory Prediction in Self Driving","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","2021","Jeong, Yonghwan; Yi, Kyongsu","10.1109/tits.2019.2955721","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Robust tunable trajectory repairing for autonomous vehicles using bernstein basis polynomials and path-speed decoupling","IEEE OPEN JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS","2025","Tong, Kailin; Steinberger, Martin; Horn, Martin; Solmaz, Selim; Watzenig, Daniel","10.1109/ojits.2025.3563823","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Hierarchical Lateral Planning With Minimum Curvature Peak for Autonomous Vehicles","JOURNAL OF DYNAMIC SYSTEMS, MEASUREMENT, AND CONTROL","2024","Shan, Zitong; Zhao, Jian; Zhao, Yang; Ge, Linhe; Zhong, Shouren; Zhu, Bing","10.1115/1.4064991","38635229","In this erratum, we correct a mistake in a subcomponent of the numerical algorithm proposed in our recent study for modeling anisotropic reactive nonlinear viscoelasticity (doi:10.1115/1.4054983), for the special case where multiple weak bond families may be recruited with loading. This correction overcomes a nonphysical response noted under uni-axial cyclical loading."
"A Highway Speed Planning Algorithm for Autonomous Truck","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","2022","Manav, Ahmet Canberk; Lazoglu, Ismail","10.1109/tits.2021.3062701","41004545","Highway freight transport is the backbone of Tibet's logistics network, accounting for 76.4% of regional freight movement (Tibet Bureau of Statistics, 2024). Challenging alpine road conditions-characterized by steep grades, sharp curves, and narrow lanes-combine with the substantial dimensions of heavy trucks to create significant operational difficulties. Autonomous truck development offers a potential solution; however, their trajectory planning algorithms exhibit limitations in high-altitude environments. To address these challenges, we propose a novel trajectory planning method using quartic Bézier curves. These 4th-order parametric curves provide G² continuity. Our approach integrates speed profiles into a three-dimensional curve representation and employs a two-phase optimization process to ensure safety and efficiency. Simulation results demonstrate the method's effectiveness in maintaining truck stability while enabling responsive maneuvering under Tibet's demanding road conditions."
"Intelligent vehicle path based on discretized sampling points and improved cost function: A quadratic programming approach","IEEE ACCESS","2024","Zhang, Chengtao; Xu, Weihang","10.1109/access.2024.3364369","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"A Data-Driven aggressive autonomous racing framework utilizing local trajectory planning with velocity prediction","IEEE ROBOTICS AND AUTOMATION LETTERS","2025","Baumann, Nicolas; Ghignone, Edoardo; Hu, Cheng; Hildisch, Benedict; Hämmerle, Tino; Bettoni, Alessandro; Carron, Andrea; Xie, Lei; Magno, Michele","10.1109/lra.2024.3519878","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Safe and Efficient Trajectory Planning Considering Longitudinal and Lateral Coupled Limits","IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY","2024","Shan, Zitong; Zhao, Jian; Zhu, Bing; Lv, Chen; Zhao, Yang; Ge, Linhe; Zhong, Shouren","10.1109/tvt.2024.3367125","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Collision-free path planning with kinematic constraints in urban scenarios","JOURNAL OF SHANGHAI JIAOTONG UNIVERSITY (SCIENCE)","2021","Wang, Liang; Wang, Bing; Wang, Chunxiang","10.1007/s12204-021-2363-8","41287838","Abstract

UNLABELLED
Fifteen organochlorine pesticides (OCPs) were determined in sediments from 14 sites in upper, middle and lower reaches of River Rwizi. Duplicate samples were collected at each site, during three sampling regimes covering the wet and dry seasons. Sediments were extracted using acetone: hexane (1:1 mixture) and clean-up was achieved using C18 cartridge. OCPs were determined using gas chromatography-mass spectrometry (GC-MS). Principal component analysis (PCA) was used to assess spatial relationships. To assess ecological health risk, the risk quotient (RQ) based on exposure and toxicity was calculated. Hazard index (HI), based on the sum of ratios of the OCP doses to permitted levels was calculated assess risk to human health. Recoveries of 54.4-93%, linearity (R2) > 0.9988, limits of detection (LoD) of 0.34-0.66 ng/kg and limits of quantification (LoQ) of 1.02-2.01 ng/kg were obtained during method validation. The total OCPs concentration was 84.34-159.5 µg/kg dry weight. Presence of OCPs in the sediment may be attributed to environmental persistence, however the presence of endosulfans implies continuing input since they have a relatively short half-life. Ecological risk quotient (RQ) values were 0.01-9780.37 while hazard index (HI) values were all less than 1. The HI for dermal exposure in children was 0.2695 and in adults it was 0.1497, exceeding the negligible risk threshold of H < 0.1. While the risk to human health was low, the high risk posed to ecology by heptachlor (RQ = 9780.37) and endosulfan II (RQ = 835.98) requires immediate mitigation.

SUPPLEMENTARY INFORMATION
The online version contains supplementary material available at 10.1007/s44274-025-00465-7."
"Model Predictive Control Based Path Planner Design for On-road Autonomous Tractor Trailer Vehicles","IFAC-PAPERSONLINE","2024","Guo, Chaoke; Mu, Jianqiu; Zhang, Jingyu; Heng, Liang","10.1016/j.ifacol.2024.09.010","41285133",
